name,category,smiles,num_atoms,num_bonds,molecular_weight,radius_of_gyration,asphericity,eccentricity,inertia_shape_factor,span_r,pmi1,pmi2,conformer_energy,vdw_energy,electrostatic_energy,torsion_strain,angle_strain,optimization_delta,dipole_moment,total_charge,max_partial_charge,min_partial_charge,charge_span,electrostatic_potential,sasa,molecular_volume,globularity,surface_to_volume_ratio,num_atoms_with_h,num_heavy_atoms
proline,amino_acid,C1CC(NC1)C(=O)O,17,17,115.13,2.206,22.968,0.543,0.457,6.359,32.189,62.833,-170.0,-8.5,-1.7,0.1,0.85,17.0,0.0,-0.003,0.094,-0.03,0.124,0.0,510.0,255.0,0.381,2.0,17,8
phenylalanine,amino_acid,c1ccc(cc1)CC(C(=O)O)N,23,23,165.19,2.966,79.624,0.724,0.276,9.355,51.809,164.943,-230.0,-11.5,-2.3,0.1,1.15,23.0,0.0,-0.043,0.094,-0.03,0.124,0.0,690.0,345.0,0.345,2.0,23,12
tyrosine,amino_acid,c1cc(ccc1CC(C(=O)O)N)O,24,24,181.19,2.979,82.001,0.676,0.324,8.782,63.671,165.645,-240.0,-12.0,-2.4,0.1,1.2,24.0,0.017,0.051,0.094,-0.03,0.124,0.002,720.0,360.0,0.34,2.0,24,13
tryptophan,amino_acid,c1ccc2c(c1)c(c[nH]2)CC(C(=O)O)N,27,28,204.23,3.076,99.776,0.627,0.373,8.97,88.292,185.765,-270.0,-14.0,-2.7,0.2,1.35,27.0,0.004,-0.009,0.094,-0.03,0.124,0.0,810.0,405.0,0.327,2.0,27,15
cysteine,amino_acid,C(C(C(=O)O)N)S,14,13,121.16,2.182,21.29,0.443,0.557,5.641,32.655,42.022,-140.0,-6.0,-1.4,0.0,0.7,14.0,0.0,0.055,0.094,-0.03,0.124,0.0,420.0,210.0,0.407,2.0,14,7
methionine,amino_acid,CSCCC(C(=O)O)N,20,19,149.22,2.676,50.854,0.688,0.312,8.311,40.39,116.612,-200.0,-8.5,-2.0,0.0,1.0,20.0,0.003,-0.055,0.094,-0.03,0.124,0.0,600.0,300.0,0.361,2.0,20,9
aspartic_acid,amino_acid,C(C(C(=O)O)N)C(=O)O,16,15,133.1,2.291,24.643,0.471,0.529,6.184,38.305,57.242,-160.0,-7.5,-1.6,0.0,0.8,16.0,0.0,0.24,0.094,-0.03,0.124,0.0,480.0,240.0,0.389,2.0,16,9
glutamic_acid,amino_acid,C(CC(=O)O)C(C(=O)O)N,19,18,147.13,2.514,40.691,0.67,0.33,8.137,35.36,97.627,-190.0,-9.0,-1.9,0.0,0.95,19.0,0.0,0.185,0.094,-0.03,0.124,0.0,570.0,285.0,0.367,2.0,19,10
lysine,amino_acid,C(CCN)CC(C(=O)O)N,24,23,146.19,2.94,80.885,0.781,0.219,9.767,42.042,180.581,-240.0,-11.5,-2.4,0.0,1.2,24.0,0.008,-0.094,0.094,-0.03,0.124,0.001,720.0,360.0,0.34,2.0,24,10
histidine,amino_acid,c1c(nc[nH]1)CC(C(=O)O)N,20,20,155.16,2.654,48.26,0.607,0.393,7.346,49.513,106.146,-200.0,-10.0,-2.0,0.1,1.0,20.0,0.003,0.11,0.094,-0.03,0.124,0.0,600.0,300.0,0.361,2.0,20,11
